,0.04,,,,,
485,0,0.7,0.16,,,
486,0,0.7,0.11,,,
487,0,0.7,0.08,,,
488,0,0.7,0.05,,,
489,0,0.7,0.04,,,
490,0,0.7,0.03,,,
491,1,0.7,0.32,,,
492,1,0.7,0.53,,,
493,1,0.7,0.67,,,
494,1,0.7,0.77,,,
495,1,0.7,0.84,,,
496,1,0.7,0.89,,,
497,1,0.7,0.92,,,
498,1,0.7,0.95,,,
499,1,0.7,0.96,,,
500,1,0.7,0.97,,,
501,0,0.7,0.68,,,
502,0,0.7,0.47,,,
503,0,0.7,0.33,,,
504,0,0.7,0.23,,,
505,0,0.7,0.16,,,
506,0,0.7,0.11,,,
507,0,0.7,0.08,,,
508,0,0.7,0.05,,,
509,0,0.7,0.04,,,
510,0,0.7,0.03,,,
511,1,0.7,0.32,,,
512,1,0.7,0.53,,,
513,1,0.7,0.67,,,
514,1,0.7,0.77,,,
515,1,0.7,0.84,,,
516,1,0.7,0.89,,,
517,1,0.7,0.92,,,
518,1,0.7,0.95,,,
519,1,0.7,0.96,,,
520,1,0.7,0.97,,,
521,0,0.7,0.68,,,
522,0,0.7,0.47,,,
523,0,0.7,0.33,,,
524,0,0.7,0.23,,,
525,0,0.7,0.16,,,
526,0,0.7,0.11,,,
527,0,0.7,0.08,,,
528,0,0.7,0.05,,,
529,0,0.7,0.04,,,
530,0,0.7,0.03,,,
531,1,0.7,0.32,,,
532,1,0.7,0.53,,,
533,1,0.7,0.67,,,
534,1,0.7,0.77,,,
535,1,0.7,0.84,,,
536,1,0.7,0.89,,,
537,1,0.7,0.92,,,
538,1,0.7,0.95,,,
539,1,0.7,0.96,,,
540,1,0.7,0.97,,,
541,0,0.7,0.68,,,
542,0,0.7,0.47,,,
543,0,0.7,0.33,,,
544,0,0.7,0.23,,,
545,0,0.7,0.16,,,
546,0,0.7,0.11,,,
547,0,0.7,0.08,,,
548,0,0.7,0.05,,,
549,0,0.7,0.04,,,
550,0,0.7,0.03,,,
551,1,0.7,0.32,,,
552,1,0.7,0.53,,,
553,1,0.7,0.67,,,
554,1,0.7,0.77,,,
555,1,0.7,0.84,,,
556,1,0.7,0.89,,,
557,1,0.7,0.92,,,
558,1,0.7,0.95,,,
559,1,0.7,0.96,,,
560,1,0.7,0.97,,,
561,0,0.7,0.68,,,
562,0,0.7,0.47,,,
563,0,0.7,0.33,,,
564,0,0.7,0.23,,,
565,0,0.7,0.16,,,
566,0,0.7,0.11,,,
567,0,0.7,0.08,,,
568,0,0.7,0.05,,,
569,0,0.7,0.04,,,
570,0,0.7,0.03,,,
571,1,0.7,0.32,,,
572,1,0.7,0.53,,,
573,1,0.7,0.67,,,
574,1,0.7,0.77,,,
575,1,0.7,0.84,,,
576,1,0.7,0.89,,,
577,1,0.7,0.92,,,
578,1,0.7,0.95,,,
